CMDLINE /home/mark/projects/stanford-cs336/assignment1-basics/.venv/bin/python3 save_vocab.py
MEM 120.621094 1784477406.5418
MEM 120.640625 1784477406.6458
MEM 122.640625 1784477406.7461
MEM 122.640625 1784477406.8498
MEM 121.273438 1784477406.9514
MEM 122.816406 1784477407.0517
MEM 122.816406 1784477407.1520
MEM 123.589844 1784477407.2523
MEM 124.609375 1784477407.3539
MEM 126.000000 1784477407.4542
MEM 126.003906 1784477407.5545
MEM 126.003906 1784477407.6549
MEM 126.003906 1784477407.7552
MEM 126.003906 1784477407.8555
MEM 126.007812 1784477407.9559
MEM 126.007812 1784477408.0562
MEM 126.007812 1784477408.1609
MEM 126.007812 1784477408.2612
MEM 126.007812 1784477408.3614
MEM 116.566406 1784477408.4618
MEM 116.566406 1784477408.5622
MEM 122.781250 1784477408.6625
MEM 122.781250 1784477408.7628
MEM 122.890625 1784477408.8631
MEM 122.890625 1784477408.9643
MEM 124.632812 1784477409.0647
MEM 124.632812 1784477409.1650
MEM 117.398438 1784477409.2659
MEM 122.875000 1784477409.3662
MEM 123.054688 1784477409.4664
MEM 123.089844 1784477409.5667
MEM 125.082031 1784477409.6670
MEM 125.082031 1784477409.7674
MEM 125.367188 1784477409.8676
MEM 125.367188 1784477409.9682
MEM 127.761719 1784477410.0684
MEM 127.761719 1784477410.1687
MEM 127.855469 1784477410.2689
MEM 127.855469 1784477410.3692
MEM 129.062500 1784477410.4694
MEM 121.210938 1784477410.5698
MEM 121.214844 1784477410.6701
MEM 126.148438 1784477410.7731
MEM 126.148438 1784477410.8734
MEM 126.453125 1784477410.9737
MEM 126.453125 1784477411.0780
MEM 128.433594 1784477411.1783
MEM 128.433594 1784477411.2787
MEM 129.796875 1784477411.3818
MEM 129.925781 1784477411.4858
MEM 129.925781 1784477411.5861
MEM 129.925781 1784477411.6863
MEM 129.925781 1784477411.7866
MEM 129.925781 1784477411.8869
MEM 130.613281 1784477411.9898
MEM 123.585938 1784477412.0901
MEM 128.839844 1784477412.1903
MEM 128.839844 1784477412.2906
MEM 128.929688 1784477412.3908
MEM 128.929688 1784477412.4911
MEM 128.929688 1784477412.5914
MEM 128.929688 1784477412.6918
MEM 128.933594 1784477412.7923
MEM 131.082031 1784477412.8926
MEM 131.082031 1784477412.9929
MEM 131.085938 1784477413.0931
MEM 131.085938 1784477413.1934
MEM 131.085938 1784477413.2937
MEM 131.085938 1784477413.3971
MEM 131.085938 1784477413.4974
MEM 131.085938 1784477413.5978
MEM 131.085938 1784477413.6981
MEM 127.816406 1784477413.7984
MEM 127.816406 1784477413.9001
MEM 130.000000 1784477414.0004
MEM 130.097656 1784477414.1007
MEM 130.097656 1784477414.2009
MEM 127.851562 1784477414.3012
MEM 127.851562 1784477414.4058
MEM 130.019531 1784477414.5061
MEM 130.105469 1784477414.6063
MEM 121.531250 1784477414.7066
MEM 127.843750 1784477414.8068
MEM 129.507812 1784477414.9071
MEM 129.507812 1784477415.0074
MEM 121.531250 1784477415.1077
MEM 127.789062 1784477415.2080
MEM 129.964844 1784477415.3098
MEM 130.082031 1784477415.4108
MEM 121.531250 1784477415.5111
MEM 121.531250 1784477415.6116
MEM 129.984375 1784477415.7119
MEM 130.800781 1784477415.8123
MEM 130.863281 1784477415.9125
MEM 123.218750 1784477416.0128
MEM 126.585938 1784477416.1133
MEM 126.585938 1784477416.2138
MEM 126.585938 1784477416.3150
MEM 128.011719 1784477416.4178
MEM 128.011719 1784477416.5207
MEM 134.609375 1784477416.6210
MEM 134.789062 1784477416.7213
MEM 134.789062 1784477416.8217
MEM 149.457031 1784477416.9220
MEM 142.121094 1784477417.0224
MEM 142.121094 1784477417.1227
MEM 143.023438 1784477417.2229
MEM 143.023438 1784477417.3246
MEM 143.160156 1784477417.4299
MEM 143.160156 1784477417.5339
MEM 143.160156 1784477417.6352
MEM 143.253906 1784477417.7354
MEM 143.253906 1784477417.8357
MEM 143.253906 1784477417.9360
MEM 143.253906 1784477418.0378
MEM 143.253906 1784477418.1392
MEM 143.253906 1784477418.2395
MEM 143.253906 1784477418.3418
MEM 144.570312 1784477418.4421
MEM 144.570312 1784477418.5424
MEM 144.570312 1784477418.6427
MEM 144.570312 1784477418.7429
MEM 144.570312 1784477418.8431
MEM 144.703125 1784477418.9434
MEM 144.703125 1784477419.0442
MEM 144.703125 1784477419.1514
MEM 144.703125 1784477419.2517
MEM 144.921875 1784477419.3519
MEM 144.921875 1784477419.4522
MEM 145.312500 1784477419.5524
MEM 145.312500 1784477419.6527
MEM 145.312500 1784477419.7530
MEM 145.312500 1784477419.8533
MEM 145.312500 1784477419.9536
MEM 145.312500 1784477420.0540
MEM 145.312500 1784477420.1543
MEM 145.312500 1784477420.2546
MEM 145.312500 1784477420.3548
MEM 145.312500 1784477420.4552
MEM 145.312500 1784477420.5556
MEM 145.312500 1784477420.6559
MEM 145.312500 1784477420.7561
MEM 145.734375 1784477420.8564
MEM 145.734375 1784477420.9567
MEM 145.734375 1784477421.0613
MEM 145.734375 1784477421.1616
MEM 145.734375 1784477421.2639
MEM 145.734375 1784477421.3654
MEM 145.734375 1784477421.4679
MEM 145.734375 1784477421.5681
MEM 145.734375 1784477421.6694
MEM 145.734375 1784477421.7702
MEM 145.734375 1784477421.8804
MEM 145.734375 1784477421.9807
MEM 145.734375 1784477422.0828
MEM 145.734375 1784477422.1858
MEM 145.734375 1784477422.2892
MEM 145.734375 1784477422.3895
MEM 145.734375 1784477422.4899
MEM 145.734375 1784477422.5901
MEM 145.734375 1784477422.6904
MEM 145.734375 1784477422.7907
MEM 145.734375 1784477422.8909
MEM 145.734375 1784477422.9912
MEM 147.171875 1784477423.0915
MEM 147.171875 1784477423.1919
MEM 147.175781 1784477423.2922
MEM 147.175781 1784477423.3974
MEM 147.179688 1784477423.4978
MEM 147.179688 1784477423.5980
MEM 147.179688 1784477423.6982
MEM 148.281250 1784477423.8018
MEM 148.281250 1784477423.9020
MEM 148.281250 1784477424.0058
MEM 148.281250 1784477424.1061
MEM 148.281250 1784477424.2064
MEM 148.281250 1784477424.3067
MEM 148.996094 1784477424.4069
MEM 148.996094 1784477424.5072
MEM 148.996094 1784477424.6075
MEM 149.308594 1784477424.7077
MEM 149.312500 1784477424.8081
MEM 149.363281 1784477424.9083
MEM 149.363281 1784477425.0086
MEM 149.363281 1784477425.1089
MEM 149.417969 1784477425.2092
MEM 149.417969 1784477425.3094
MEM 149.492188 1784477425.4114
MEM 149.492188 1784477425.5117
MEM 149.492188 1784477425.6138
MEM 149.492188 1784477425.7178
MEM 149.492188 1784477425.8180
MEM 149.492188 1784477425.9218
MEM 149.492188 1784477426.0221
MEM 149.492188 1784477426.1223
MEM 149.492188 1784477426.2226
MEM 150.093750 1784477426.3229
MEM 150.148438 1784477426.4232
MEM 150.148438 1784477426.5235
MEM 150.148438 1784477426.6240
MEM 150.148438 1784477426.7258
MEM 150.148438 1784477426.8261
MEM 150.148438 1784477426.9298
MEM 150.148438 1784477427.0338
MEM 150.148438 1784477427.1340
MEM 150.148438 1784477427.2343
MEM 150.148438 1784477427.3345
MEM 150.148438 1784477427.4348
