CMDLINE /home/mark/projects/stanford-cs336/assignment1-basics/.venv/bin/python3 save_vocab.py
MEM 129.687500 1784812994.4730
MEM 129.687500 1784812994.5746
MEM 129.691406 1784812994.6750
MEM 129.691406 1784812994.7752
MEM 130.578125 1784812994.8755
MEM 133.316406 1784812994.9758
MEM 133.316406 1784812995.0778
MEM 133.316406 1784812995.1800
MEM 133.320312 1784812995.2806
MEM 125.238281 1784812995.3822
MEM 130.195312 1784812995.4858
MEM 132.500000 1784812995.5861
MEM 132.515625 1784812995.6898
MEM 132.515625 1784812995.7938
MEM 132.515625 1784812995.8941
MEM 132.773438 1784812995.9944
MEM 132.781250 1784812996.0947
MEM 132.781250 1784812996.1949
MEM 129.011719 1784812996.2952
MEM 129.011719 1784812996.3956
MEM 130.597656 1784812996.4960
MEM 132.269531 1784812996.5963
MEM 132.273438 1784812996.6966
MEM 132.281250 1784812996.7970
MEM 132.914062 1784812996.9006
MEM 132.914062 1784812997.0009
MEM 132.917969 1784812997.1012
MEM 132.921875 1784812997.2014
MEM 132.921875 1784812997.3058
MEM 132.937500 1784812997.4060
MEM 132.937500 1784812997.5063
MEM 133.562500 1784812997.6097
MEM 133.562500 1784812997.7101
MEM 133.761719 1784812997.8103
MEM 133.761719 1784812997.9106
MEM 133.761719 1784812998.0108
MEM 133.761719 1784812998.1111
MEM 133.773438 1784812998.2113
MEM 133.773438 1784812998.3117
MEM 133.773438 1784812998.4138
MEM 133.773438 1784812998.5178
MEM 133.773438 1784812998.6181
MEM 133.773438 1784812998.7184
MEM 133.773438 1784812998.8193
MEM 133.773438 1784812998.9195
MEM 134.890625 1784812999.0198
MEM 134.890625 1784812999.1218
MEM 134.890625 1784812999.2245
MEM 134.890625 1784812999.3247
MEM 134.890625 1784812999.4250
MEM 134.890625 1784812999.5252
MEM 135.417969 1784812999.6255
MEM 135.417969 1784812999.7258
MEM 135.417969 1784812999.8260
MEM 135.417969 1784812999.9263
MEM 136.140625 1784813000.0298
MEM 146.660156 1784813000.1338
MEM 146.660156 1784813000.2378
MEM 146.660156 1784813000.3380
MEM 146.660156 1784813000.4383
MEM 161.328125 1784813000.5386
MEM 153.992188 1784813000.6389
MEM 153.992188 1784813000.7392
MEM 153.992188 1784813000.8395
MEM 153.992188 1784813000.9398
MEM 153.992188 1784813001.0401
MEM 153.996094 1784813001.1404
MEM 153.996094 1784813001.2413
MEM 153.996094 1784813001.3417
MEM 153.996094 1784813001.4444
MEM 153.996094 1784813001.5447
MEM 153.996094 1784813001.6449
MEM 154.000000 1784813001.7452
MEM 154.000000 1784813001.8454
MEM 154.000000 1784813001.9457
MEM 154.000000 1784813002.0459
MEM 154.000000 1784813002.1462
MEM 154.000000 1784813002.2498
MEM 154.000000 1784813002.3538
MEM 154.000000 1784813002.4541
MEM 154.000000 1784813002.5544
MEM 154.000000 1784813002.6578
MEM 154.000000 1784813002.7580
MEM 154.000000 1784813002.8584
MEM 154.000000 1784813002.9587
MEM 154.000000 1784813003.0589
MEM 154.000000 1784813003.1598
MEM 154.000000 1784813003.2601
MEM 154.000000 1784813003.3603
MEM 154.000000 1784813003.4606
MEM 154.000000 1784813003.5608
MEM 154.000000 1784813003.6611
MEM 154.000000 1784813003.7613
MEM 154.000000 1784813003.8616
MEM 154.000000 1784813003.9628
MEM 154.000000 1784813004.0631
MEM 154.000000 1784813004.1634
MEM 154.000000 1784813004.2637
MEM 154.000000 1784813004.3639
MEM 154.144531 1784813004.4642
MEM 154.144531 1784813004.5645
MEM 154.144531 1784813004.6647
MEM 154.144531 1784813004.7699
MEM 154.144531 1784813004.8702
MEM 154.144531 1784813004.9738
